

 OCC  CUM_SUM_DOCS COVERAGE  CUM_SUM_ITEMS
 216           216  99.54 %              1
 209           217 100.00 %              2
 187           217 100.00 %              3
  85           217 100.00 %              4
  77           217 100.00 %              5
  61           217 100.00 %              6
  47           217 100.00 %              7
  43           217 100.00 %              8
  37           217 100.00 %              9
  29           217 100.00 %             10
  28           217 100.00 %             11
  27           217 100.00 %             12
  25           217 100.00 %             14
  22           217 100.00 %             15
  21           217 100.00 %             19
  20           217 100.00 %             20
  19           217 100.00 %             25
  18           217 100.00 %             29
  16           217 100.00 %             31
  14           217 100.00 %             33
  13           217 100.00 %             36
  12           217 100.00 %             45
  11           217 100.00 %             52
  10           217 100.00 %             59
   9           217 100.00 %             70
   8           217 100.00 %             86
   7           217 100.00 %            110
   6           217 100.00 %            136
   5           217 100.00 %            187
   4           217 100.00 %            254
   3           217 100.00 %            405
   2           217 100.00 %            845
   1           217 100.00 %           4935

