

 OCC  CUM_SUM_DOCS COVERAGE  CUM_SUM_ITEMS
 362           362  98.37 %              1
 342           367  99.73 %              2
 290           368 100.00 %              3
 153           368 100.00 %              4
 145           368 100.00 %              5
 105           368 100.00 %              6
  90           368 100.00 %              7
  89           368 100.00 %              8
  78           368 100.00 %              9
  77           368 100.00 %             10
  73           368 100.00 %             11
  71           368 100.00 %             12
  67           368 100.00 %             13
  59           368 100.00 %             14
  51           368 100.00 %             15
  48           368 100.00 %             16
  37           368 100.00 %             18
  34           368 100.00 %             19
  33           368 100.00 %             21
  32           368 100.00 %             25
  31           368 100.00 %             26
  30           368 100.00 %             27
  29           368 100.00 %             28
  28           368 100.00 %             31
  26           368 100.00 %             35
  25           368 100.00 %             37
  24           368 100.00 %             38
  23           368 100.00 %             42
  22           368 100.00 %             47
  21           368 100.00 %             53
  20           368 100.00 %             55
  18           368 100.00 %             59
  17           368 100.00 %             64
  16           368 100.00 %             74
  15           368 100.00 %             76
  14           368 100.00 %             82
  13           368 100.00 %             90
  12           368 100.00 %            101
  11           368 100.00 %            117
  10           368 100.00 %            130
   9           368 100.00 %            154
   8           368 100.00 %            191
   7           368 100.00 %            229
   6           368 100.00 %            282
   5           368 100.00 %            352
   4           368 100.00 %            476
   3           368 100.00 %            745
   2           368 100.00 %           1466
   1           368 100.00 %           8879

