"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Zaldo J.M.; Rivera-Hernaez O.; Martín-García J.","Zaldo, José Miguel (57218199048); Rivera-Hernaez, Olga (14024856200); Martín-García, Juan (59665006300)","57218199048; 14024856200; 59665006300","Proposition to use System Dynamics for Assessing the Impact of new Technologies on Employment","2019","European Conference on the Impact of Artificial Intelligence and Robotics, ECIAIR 2019","","","","378","389","1","10.34190/ECIAIR.19.027","https://www.scopus.com/pages/publications/85101290132?origin=resultslist","Regarding the effects of new technologies on employment, with priority AI with or without robots and/or drones; 3D/4D printing and Nanotechnology as the most important; followed by IoT; Autonomous driving; Blockchain; and Augmented reality. It is known there are two opposite positions in the academic world; the Tecno-Optimists and the Tecno-Pessimists. What we have done, with our literature review is not only to better understand each position, but also, as our contribution, to highlight the most important variables that each group consider essential for their conclusions. We found that there are two main variables to manage: Technology and employment; and many secondary variables - the most important one being competitive-which influences decisively the process between technology and employment. In order to continue our research with so many variables and so complex a system, we decided to use a mathematical modelling technique, based on System Dynamics. With this methodology we built a global CLD - Causal Loop Diagram-which explains the effect (direct or indirect) of each variable on employment. To facilitate the understanding of a global CLD, we divided it into two partial CLDs, of course both related to each other, but each one explaining an important part of the process. With these CLDs, we already have a clear idea concerning which variables to act on, positively or negatively, to get better results on employment. Nevertheless, we also wanted to prove that our model works in real situations with current quantities on each variable; therefore we built two SFDs (Stock and Flow Diagrams) and applied them to several companies and institutions, proving that not only does the system work, but it also allows the answer to “what if” questions, as well as quantify the final employment and make a strategy to act on the most influential variables, in order to apply the latest technologies with the best possible results on employment in quantity and quality. The conclusion is that new technologies will always displace tasks and jobs, but they will also improve the competitiveness and acting on training, growing and new tasks, including leisure business, we can be techno-optimists. © European Conference on the Impact of Artificial Intelligence and Robotics, ECIAIR 2019.","Conference paper","Final","","Scopus","2-s2.0-85101290132"
"McAlister M.M.; Mihelcic J.R.; Stuart A.L.; Zhang Q.","McAlister, Martha M. (57410697100); Mihelcic, James R. (7004170368); Stuart, Amy L. (7202208056); Zhang, Qiong (37035558800)","57410697100; 7004170368; 7202208056; 37035558800","Sustaining clean cooking: A system dynamics study of Ghana's rural LPG promotion program","2024","Energy for Sustainable Development","81","","101497","","","2","10.1016/j.esd.2024.101497","https://www.scopus.com/pages/publications/85196312553?origin=resultslist","Household air pollution is a pervasive environmental health problem wherever access to cleaner fuels is poor. Despite numerous attempts to transition households away from polluting fuels, interventions are rarely sustainable. This intractability indicates that structural (i.e., systemic) dynamics act to maintain the status quo. In this case study of Ghana's Rural Liquefied Petroleum Gas (LPG) Promotion Program, our objectives were to 1) identify system structures affecting sustained fuel use, and 2) test strategies for improving intervention outcomes. To address these objectives, we applied a system dynamics approach, informed by a systematic literature review. A virtual simulation model was constructed to represent the implementation of the Rural LPG Program and its outcomes. By analyzing the model's structure and behavior, we proposed strategies that would improve the intervention's outcomes and tested the effectiveness of the strategies within the simulation model. Our results show that distributing two LPG cylinders to households (instead of one) contributed toward primary use of the fuel, whereas free weekly delivery of LPG (for up to four years) had limited long-term benefits and diminishing returns. Furthermore, reducing the time for users to perceive the benefits of cleaner fuels enhanced willingness-to-pay, and thereby helped to sustain higher rates of LPG use. This suggests that intervention planners should identify new users' expectations of benefits and proactively design ways to realize those benefits quickly (in a few weeks or less), while policy makers should support this as a design requirement in approval processes. © 2024 International Energy Initiative","Article","Final","","Scopus","2-s2.0-85196312553"
"Tan A.H.P.; Chen K.F.; Yap E.H.","Tan, Andrew Huey Ping (56435312600); Chen, Khin Fai (56434757300); Yap, Eng Hwa (44661978300)","56435312600; 56434757300; 44661978300","System dynamics of a marine renewable energy scheme (MRE) for Malaysia","2014","Applied Mechanics and Materials","627","","","318","322","1","10.4028/www.scientific.net/AMM.627.318","https://www.scopus.com/pages/publications/84914096850?origin=resultslist","MRE provides great potential for Malaysia, an emerging economy, to diversify its primary energy mix and ensuring the security of its energy supply. In this paper, the state-of-the-art of each MRE type is studied alongside hydrographical and geographical conditions of Malaysian waters. It is based upon this knowledge that an MRE scheme is proposed for Malaysia. However, introducing a complex MRE system into Malaysia’s energy pool requires in-depth understanding of key governing factors and the dynamic behaviours of its implementation using a systemic approach. Results from system dynamics modelling have identified key-enablers to fast-track the implementation of MRE in Malaysia. © 2014 Trans Tech Publications, Switzerland.","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84914096850"
"Young-Chool C.; Ju S.; Lee G.; Lee S.; Kim S.; Yun S.","Young-Chool, Choi (60065815900); Ju, Sanghyun (57200139258); Lee, Gyutae (60131259200); Lee, Sangyup (57209318986); Kim, Sangkun (60130996300); Yun, Sungho (60130615200)","60065815900; 57200139258; 60131259200; 57209318986; 60130996300; 60130615200","Exploring Approaches to Low Fertility through Integrated Application of Big Data-based Topic Modeling and System Dynamics: The Case of South Korea; [Explorando enfoques para la baja fertilidad a través de la aplicación integrada del modelado temático basado en Big Data y la dinámica de sistemas: El caso de Corea del Sur]","2025","Data and Metadata","4","","852","","","0","10.56294/dm2025852","https://www.scopus.com/pages/publications/105018106162?origin=resultslist","This study examines the multidimensional aspects of low fertility by integrating big data text mining with system dynamics analysis. While previous research primarily utilized macroeconomic, big data discourse, or system dynamics approaches independently, this research combines textual big data analysis and causal loop modeling to address gaps identified in prior methodologies. Specifically, we analyze social discourses and sentiments related to low fertility through text mining of social media data, and then link these qualitative insights with quantitative simulations using system dynamics. Our integrated approach offers a novel methodological framework that enhances understanding of the complex interactions between societal perceptions, policy interventions, and demographic outcomes. The results underscore the importance of capturing both qualitative social trends and quantitative policy feedback loops, providing valuable implications for designing more effective fertility-enhancing policies. © 2025; Los autores.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018106162"
"Cheng J.; Fan X.; Tian L.; Li J.","Cheng, Jing (58261610500); Fan, Xianjun (60339820300); Tian, Liang (59588323900); Li, Jun (60338893800)","58261610500; 60339820300; 59588323900; 60338893800","Uncovering the Drivers and Pathways of Carbon Emissions in Smart City: An Integrated DEMATEL–ISM–System Dynamics Approach","2026","Buildings","16","1","99","","","1","10.3390/buildings16010099","https://www.scopus.com/pages/publications/105027905512?origin=resultslist","Under the dual pressures of global climate change and China’s “carbon peak and carbon neutrality” targets, traditional urban development models are insufficient to support sustainable transitions. Smart cities (SCs) have emerged as key platforms for achieving low-carbon urban transformation, yet the systemic causal mechanisms and dynamic transmission pathways of carbon emissions within these cities remain underexplored. This study develops an integrated DEMATEL–ISM–SD modeling framework to systematically identify key drivers, reveal causal structures, and simulate the dynamic evolution of carbon emissions in SCs. Eighteen influencing factors were identified through a comprehensive literature review. DEMATEL analysis evaluated the causal strength and centrality of factors, ISM constructed a five-level hierarchical structure, and a system dynamics model was established for scenario simulation, using Shenzhen as a case study. The results show that green technological innovation capacity exhibits the highest centrality, while energy structure demonstrates the strongest causal influence. SC policy intensity is positioned at the deepest level of the hierarchical structure, serving as a foundational driver that exerts influence on all other factors. Scenario simulations indicate that enhancing green innovation, optimizing industrial and energy structures, and developing smart transportation systems can significantly reduce carbon emissions over time. The research findings reveal the key drivers and transmission pathways of carbon emissions in SCs, providing a reference basis for policy formulation on urban low-carbon transformation and sustainable development. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027905512"
"Sani K.; Siallagan M.; Putro U.S.; Mangkusubroto K.","Sani, Kartono (57205318481); Siallagan, Manahan (25961078300); Putro, Utomo Sarjono (6507148800); Mangkusubroto, Kuntoro (6507483575)","57205318481; 25961078300; 6507148800; 6507483575","Indonesia energy mix modelling using system dynamics","2018","International Journal of Sustainable Energy Planning and Management","18","","","29","52","20","10.5278/ijsepm.2018.18.3","https://www.scopus.com/pages/publications/85059442103?origin=resultslist","Indonesia is facing tremendous challenges in bridging the broadening gap of demand and supply prior to developing a steady energy vision. This paper is to introduce system dynamics in solving the problematic national energy management, share an initial stage of the modelling and discuss the challenges. A literature review defines the preferred modelling, empirical data demonstrates the supply mix trends and used in developing the initial model to represent the past behaviour prior to be enhanced, upgraded and simulated towards the vision. The initial simulation runs succeed in imitating the historical trends and suggests that its engineering to the envisaged patterns may offer viable solution. The use of System Dynamics in Indonesia is unprecedented and the results are noteworthy in supporting the formulation of the national Energy Mix Vision. © 2018, Aalborg University press. All rights reserved.","Article","Final","","Scopus","2-s2.0-85059442103"
"Gastelum J.R.; Krishnamurthy G.; Ochoa N.; Sibbett S.; Armstrong M.; Kalaria P.","Gastelum, Jesus R. (23012207300); Krishnamurthy, Ganesh (57201503565); Ochoa, Nemesciano (57201499025); Sibbett, Shane (56711184000); Armstrong, Margie (57201503548); Kalaria, Parag (57201503610)","23012207300; 57201503565; 57201499025; 56711184000; 57201503548; 57201503610","The Use of System Dynamics Model to Enhance Integrated Resources Planning Implementation","2018","Water Resources Management","32","7","","2247","2260","20","10.1007/s11269-018-1926-4","https://www.scopus.com/pages/publications/85045140692?origin=resultslist","Elsinore Valley Municipal Water District (EVMWD), like many other water agencies in southern California, relies heavily on imported water supply. The uncertainty associated with reliable imported water supplies due to drought conditions and climate change, and the increasing cost of imported water are areas of concern for EVMWD. Considering these conditions, EVMWD, which serves one of the fastest growing regions within Riverside County, embarked upon the development of its first Integrated Resources Plan (IRP) – a long term strategy for providing reliable water supplies to its growing customer base. The IRP’s evaluation methodology consists of three steps: Identification of potential water supply projects, project evaluation, and recommendation of a water supply portfolio comprised of the specific projects. A System Dynamics (SD) Water Resources Decision Support System (WRDSS) was used to evaluate different scenarios and examine EVMWD’s vulnerability to risks such as water supply shortage, and changes to water quality and/or water demand projections. Even though SD has been extensively applied to many water resources planning modeling efforts, based on our literature review, there is not a documented case of SD modeling applied to an IRP project. The recommended water supply portfolio represents the most cost effective option. It meets the forecasted long term deficit and provides the best reliability while providing good quality water supplies to EVMWD’s customers. The recommended water supply portfolio will be implemented using an adaptive management approach to adjust to changing conditions, coupled with long-range resource management policies that optimize water supply and storage assets in times of both drought and surplus. © 2018, Springer Science+Business Media B.V., part of Springer Nature.","Article","Final","","Scopus","2-s2.0-85045140692"
"Emre Kaya F.; Monsù Scolaro A.","Emre Kaya, Fuat (58249083100); Monsù Scolaro, Antonello (58248608000)","58249083100; 58248608000","Unravelling complexity toward circularity: A system-dynamics based approach","2024","IOP Conference Series: Earth and Environmental Science","1402","1","012022","","","2","10.1088/1755-1315/1402/1/012022","https://www.scopus.com/pages/publications/85207477224?origin=resultslist","This paper employed the System Dynamics (SD) methodological tool to investigate the intricate dynamics of transitioning to the circular economy, as a climate change mitigation strategy, in the building sector while focusing on stakeholder dynamics throughout the building life cycle. This paper's methodological approach used a two-stage approach, encompassing problem articulation and formulation of dynamic hypothesis. In the problem articulation stage, this paper identified the stakeholder dynamics in the building life cycle thanks to a comprehensive critical literature review. This paper then delved deeper into the stakeholder dynamics in the formulation of dynamic hypothesis stage. The results revealed that the stakeholders are interdependent while working together to address common concerns. Furthermore, the results emphasized the importance of stakeholder collaboration and communication in overcoming barriers to the circular economy transition in the building sector. Thus, this paper aims to contribute to the understanding of stakeholder dynamics while streamlining the decision-making process and suggesting potential solutions for the effective implementation of the circular economy in the prevailing linear state of the building sector to pave the way for a collaborative and communicative approach to climate change mitigation. While recognizing the limitations, this paper suggests future research for a more comprehensive analysis of the complex system's dynamics. © Published under licence by IOP Publishing Ltd.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207477224"
"Negrete-Rodriguez M.A.; Elizondo-Noriega A.; Muñoz M.; Güemes-Castorena D.","Negrete-Rodriguez, Mario A. (58913897600); Elizondo-Noriega, Armando (55251722900); Muñoz, Mirna (53866986800); Güemes-Castorena, David (14822402500)","58913897600; 55251722900; 53866986800; 14822402500","A Comparison of System Dynamics-Based Simulators for Project Management Training: A Literature Review","2024","Studies in Computational Intelligence","1135","","","127","141","0","10.1007/978-3-031-50590-4_8","https://www.scopus.com/pages/publications/85186436888?origin=resultslist","The constant pressure on the industrial workforce to successfully achieve projects’ scope within time, resources and budget constraints is constantly increasing because of the volatile market conditions worldwide. To palliate this issue, Project Management (PM) has been proposed as a suitable approach to cope with the varied sources of pressure. For instance, PM facilitates the control and tracking of multiple steps involved in delivering value to customers. However, to fully take advantage of a PM implementation in an organization, managers need hands-on experience to properly use PM principles in real-life situation. Nowadays, simulation-based training has become an affordable approach to provide novice project managers with situational-based learning they need during different stages in the career in PM. Unfortunately, little is known about the effectiveness of simulation as a training tool for new and current project managers. To fill the knowledge gap in how effective simulation has been to train project managers, this work presents the results of a systemic literature review study. A key finding of this work is a paucity in computer-based simulation approaches to train project managers, particularly in the agile paradigm. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Book chapter","Final","","Scopus","2-s2.0-85186436888"
"Harrison G.; Grant-Muller S.M.; Hodgson F.C.","Harrison, Gillian (54893556400); Grant-Muller, Susan M. (8335859800); Hodgson, Frances C. (6701752379)","54893556400; 8335859800; 6701752379","A review of transport-health system dynamics models","2021","Journal of Transport and Health","22","","101138","","","13","10.1016/j.jth.2021.101138","https://www.scopus.com/pages/publications/85110780836?origin=resultslist","Introduction: The impacts of transport on health have been extensively studied, yet there has been less focus on the complex interactions that exist within the transport-health sphere. We adopt a System Dynamics (SD) approach to addressing the research question “Where are the trade-offs and synergies between different types of health impacts within the transport-health system?“, which is in recognition of the problem that policies designed to influence health outcomes related to one form of transport impact may also influence other health outcomes and transport impacts. Methods: To begin, we carry out a literature review of existing SD studies of transport-health, identifying 23 that have been published, of which six explicitly cover multiple transport impacts. We then combine key concepts of these studies to create a generalised causal loop diagram (CLD) that addresses the research question. Results: We develop a CLD for exploring the trade-offs within transport-health. In doing so, we find that not all existing studies define health outcomes (eg morbidity or mortality) and few cover both transport and health mechanisms in detail. As well as improving the detail on mobility behaviours, transport impacts and health outcomes, we also identify a need for this approach to consider the influence of new data and technologies on transport-health. Conclusions: Although this paper presents a qualitative model, this is the first step towards a quantitative model, and nonetheless, in itself may be used to better understand the system and scenarios, and contribute to more robust transport-health impact assessments for policy making. © 2021 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85110780836"
